許可・届出受理番号,事業主名称,事業所名称,事業所所在地,電話番号,派遣労働者数,派遣先件数,得意とする職種
地01-110001,下川事業協同組合,下川事業協同組合,北海道上川郡下川町錦町１０７番地,01655-4-2507,2人,4件,食品製造、小売り販売店、農業
地01-300001,中頓別町特定地域づくり事業協同組合,中頓別町特定地域づくり事業協同組合,北海道枝幸郡中頓別町字中頓別172番地6,01634-6-1111,,,
地01-300002,初山別事業協同組合,初山別事業協同組合,北海道苫前郡初山別村字初山別68番地,0164-67-2020,3人,3件,
地01-300003,なよろ地域づくり事業協同組合,なよろ地域づくり事業協同組合,北海道名寄市大通南三丁目14番地,01654-3-4190,3人,2件,
地01-300004,浜益特定地域づくり事業協同組合,浜益特定地域づくり事業協同組合,北海道石狩市浜益区浜益2番地3　浜益支所内,080-6095-7451,3人,7件,漁業、農業、飲食業
地01-300005,えんがるサンキュー協同組合,えんがるサンキュー協同組合,北海道紋別郡遠軽町大通南二丁目5番地19,0158-46-7316,4人,4件,農業、サービス業、飲食
派01-010033,株式会社ケイ・イー・パワースタッフ,株式会社ケイ・イー・パワースタッフ,北海道札幌市中央区北一条東一丁目4番地1　サン経成ビル5階,011-232-4096,11人,6件,
派01-010050,キャリアバンク株式会社,キャリアバンク株式会社,北海道札幌市中央区北5条西5-7　sapporo55　5F,011-251-3373,,,
派01-010050,キャリアバンク株式会社,キャリアバンク株式会社　函館支店,北海道函館市五稜郭町1-14　五稜郭114ビル　5階,0138-55-2002,,,
派01-010050,キャリアバンク株式会社,キャリアバンク株式会社　旭川支店,北海道旭川市1条通9-50-3　旭川緑橋通第一生命ビル3階,0166-29-2077,,,
派01-010050,キャリアバンク株式会社,キャリアバンク株式会社　帯広支店,北海道帯広市西2条南11-12-1　天光堂ビル3階,0155-67-7270,,,
派01-010053,リンケージサービス株式会社,リンケージサービス株式会社,北海道札幌市中央区北二条西二丁目15番地　ＳＴＶ北2条ビル2階,011-272-2234,,,
派01-010054,キャリアフィット　株式会社,キャリアフィット　株式会社,北海道札幌市中央区南1条東2丁目3－2　マツヒロビル2階,011-242-0119,24人,13件,コールセンター、製造職種、販売
派01-010060,株式会社　日本旅行北海道 ,株式会社　日本旅行北海道　札幌派遣センター ,北海道札幌市中央区南1条西4丁目16番地　日本旅行札幌ビル７階,011-208-0155,,,
派01-010090,エス・テー・ビー興発 株式会社,エス・テー・ビー興発 株式会社,北海道札幌市中央区南一条西六丁目11番地　札幌北辰ビル3階,011-281-2545,95人,52件,事務、受付、営業
派01-010096,株式会社　拓研,株式会社 拓研,北海道札幌市中央区北7条西18丁目2番地の2,011-611-8311,,,
派01-010108,株式会社　サツキャリ,株式会社　サツキャリ,北海道札幌市中央区南一条西一丁目8番地2　高桑ビル8階,011-281-5423,,,マネキン
派01-010108,株式会社　サツキャリ,株式会社　サツキャリ　道南オフィス,北海道函館市梁川町5－8　ﾌﾟﾗｲﾑ函館WEST703号室,0138-83-2904,,,
派01-010112,株式会社ヒューマンリソーシズエージェンシー,株式会社ヒューマンリソーシズエージェンシー,北海道札幌市中央区南1条西4丁目13番地　日之出ビル7F,011-261-7032,,,
派01-010116,パーソナル札幌 株式会社,パーソナル札幌 株式会社,北海道札幌市中央区北2条西4丁目1番地　札幌三井ＪＰビルディング8Ｆ,011-271-1881,,,
派01-010118,株式会社夢カンパニー,株式会社 夢カンパニー,北海道札幌市中央区南一条西一丁目13番地　繁田園センタービル4F,011-211-6486,,,
